Local time,Open,High,Low,Close,Volume
02.01.2004 01:30:00.000 GMT+0330,0.75102,0.75915,0.74939,0.75737,136338.85020000002
03.01.2004 01:30:00.000 GMT+0330,0.75737,0.75737,0.75737,0.75737,0
04.01.2004 01:30:00.000 GMT+0330,0.75737,0.75737,0.75737,0.75737,0
05.01.2004 01:30:00.000 GMT+0330,0.75793,0.76900,0.75719,0.76719,151371.57009999998
06.01.2004 01:30:00.000 GMT+0330,0.76766,0.77265,0.76553,0.76910,142447.0291
07.01.2004 01:30:00.000 GMT+0330,0.76912,0.77055,0.76477,0.76780,136009.45010000002
08.01.2004 01:30:00.000 GMT+0330,0.76778,0.77571,0.76473,0.77502,146305.9333
09.01.2004 01:30:00.000 GMT+0330,0.77507,0.77830,0.77064,0.77609,141148.26969999998
10.01.2004 01:30:00.000 GMT+0330,0.77609,0.77609,0.77609,0.77609,0
11.01.2004 01:30:00.000 GMT+0330,0.77609,0.77609,0.77609,0.77609,0
12.01.2004 01:30:00.000 GMT+0330,0.77713,0.77995,0.77436,0.77690,150871.459
13.01.2004 01:30:00.000 GMT+0330,0.77705,0.78115,0.77449,0.77869,144893.2009
14.01.2004 01:30:00.000 GMT+0330,0.77862,0.78011,0.77278,0.77289,133330.5095
15.01.2004 01:30:00.000 GMT+0330,0.77326,0.77665,0.76838,0.76999,145861.90509999997
16.01.2004 01:30:00.000 GMT+0330,0.76979,0.77199,0.76072,0.76272,140765.42020000002
17.01.2004 01:30:00.000 GMT+0330,0.76272,0.76272,0.76272,0.76272,0
18.01.2004 01:30:00.000 GMT+0330,0.76272,0.76272,0.76272,0.76272,0
19.01.2004 01:30:00.000 GMT+0330,0.76250,0.76358,0.75236,0.75465,151579.48859999998
20.01.2004 01:30:00.000 GMT+0330,0.75491,0.76995,0.75300,0.76692,143410.0397
21.01.2004 01:30:00.000 GMT+0330,0.76711,0.77457,0.76540,0.77323,135142.89049999998
22.01.2004 01:30:00.000 GMT+0330,0.77347,0.77940,0.77145,0.77785,144565.52550000002
23.01.2004 01:30:00.000 GMT+0330,0.77809,0.77965,0.77009,0.77079,141285.789
24.01.2004 01:30:00.000 GMT+0330,0.77079,0.77079,0.77079,0.77079,0
25.01.2004 01:30:00.000 GMT+0330,0.77079,0.77079,0.77079,0.77079,0
26.01.2004 01:30:00.000 GMT+0330,0.76983,0.77718,0.76772,0.76843,152078.86109999998
27.01.2004 01:30:00.000 GMT+0330,0.76846,0.78125,0.76718,0.77859,145103.6506
28.01.2004 01:30:00.000 GMT+0330,0.77846,0.78105,0.76975,0.76988,136414.2388
29.01.2004 01:30:00.000 GMT+0330,0.77001,0.77450,0.75713,0.75999,148147.0276
30.01.2004 01:30:00.000 GMT+0330,0.75984,0.76496,0.75420,0.76350,143158.52950000003
31.01.2004 01:30:00.000 GMT+0330,0.76350,0.76350,0.76350,0.76350,0
01.02.2004 01:30:00.000 GMT+0330,0.76350,0.76350,0.76350,0.76350,0
02.02.2004 01:30:00.000 GMT+0330,0.76282,0.76530,0.75528,0.75810,2431700.7737
03.02.2004 01:30:00.000 GMT+0330,0.75825,0.76730,0.75745,0.76529,2472246.3400999997
04.02.2004 01:30:00.000 GMT+0330,0.76499,0.76710,0.75831,0.76123,2470298.9612
05.02.2004 01:30:00.000 GMT+0330,0.76143,0.76700,0.75945,0.76075,2454768.3088999996
06.02.2004 01:30:00.000 GMT+0330,0.76063,0.77095,0.76035,0.77002,2458811.2581
07.02.2004 01:30:00.000 GMT+0330,0.77002,0.77002,0.77002,0.77002,0
08.02.2004 01:30:00.000 GMT+0330,0.77002,0.77002,0.77002,0.77002,0
09.02.2004 01:30:00.000 GMT+0330,0.76566,0.77825,0.76430,0.77621,2473390.1019000006
10.02.2004 01:30:00.000 GMT+0330,0.77676,0.78352,0.77480,0.77849,2456430.6721000005
11.02.2004 01:30:00.000 GMT+0330,0.77846,0.78925,0.77610,0.78739,2475298.0862
12.02.2004 01:30:00.000 GMT+0330,0.78790,0.78962,0.78507,0.78893,2468028.7383
13.02.2004 01:30:00.000 GMT+0330,0.78883,0.79430,0.78602,0.78937,2448519.6174
14.02.2004 01:30:00.000 GMT+0330,0.78937,0.78937,0.78937,0.78937,0
15.02.2004 01:30:00.000 GMT+0330,0.78937,0.78937,0.78937,0.78937,0
16.02.2004 01:30:00.000 GMT+0330,0.78916,0.79335,0.78862,0.79205,2444132.5001000003
17.02.2004 01:30:00.000 GMT+0330,0.79240,0.79873,0.79050,0.79794,2472960.9688999993
18.02.2004 01:30:00.000 GMT+0330,0.79798,0.80022,0.78685,0.78911,2477536.6173999994
19.02.2004 01:30:00.000 GMT+0330,0.78933,0.79286,0.78625,0.79096,2485484.2539
20.02.2004 01:30:00.000 GMT+0330,0.79103,0.79322,0.76357,0.77084,2485722.0864000004
21.02.2004 01:30:00.000 GMT+0330,0.77084,0.77084,0.77084,0.77084,0
22.02.2004 01:30:00.000 GMT+0330,0.77084,0.77084,0.77084,0.77084,0
23.02.2004 01:30:00.000 GMT+0330,0.76975,0.77540,0.76492,0.77112,2463134.9808000005
24.02.2004 01:30:00.000 GMT+0330,0.77126,0.78155,0.76881,0.77921,2466976.7424
25.02.2004 01:30:00.000 GMT+0330,0.77929,0.78158,0.77006,0.77136,2480347.371199999
26.02.2004 01:30:00.000 GMT+0330,0.77137,0.77395,0.76600,0.77079,2458234.1056
27.02.2004 01:30:00.000 GMT+0330,0.77106,0.77435,0.76554,0.77320,2474069.3789999997
28.02.2004 01:30:00.000 GMT+0330,0.77320,0.77320,0.77320,0.77320,0
29.02.2004 01:30:00.000 GMT+0330,0.77320,0.77320,0.77320,0.77320,0
01.03.2004 01:30:00.000 GMT+0330,0.77254,0.77655,0.77021,0.77215,2454521.0979999998
02.03.2004 01:30:00.000 GMT+0330,0.77224,0.77415,0.75930,0.76291,2463574.8750999994
03.03.2004 01:30:00.000 GMT+0330,0.76314,0.76418,0.73970,0.74892,2471482.4455
04.03.2004 01:30:00.000 GMT+0330,0.74925,0.75553,0.74684,0.75074,2452739.4766999995
05.03.2004 01:30:00.000 GMT+0330,0.75106,0.76235,0.74795,0.75891,2485749.4026
06.03.2004 01:30:00.000 GMT+0330,0.75891,0.75891,0.75891,0.75891,0
07.03.2004 01:30:00.000 GMT+0330,0.75891,0.75891,0.75891,0.75891,0
08.03.2004 01:30:00.000 GMT+0330,0.76035,0.76052,0.75367,0.75912,2462132.714899999
09.03.2004 01:30:00.000 GMT+0330,0.75930,0.76565,0.75620,0.75806,2444525.6640999997
10.03.2004 01:30:00.000 GMT+0330,0.75830,0.75915,0.74440,0.74469,2462342.5509999995
11.03.2004 01:30:00.000 GMT+0330,0.74479,0.75047,0.73135,0.73679,2488552.1874000006
12.03.2004 01:30:00.000 GMT+0330,0.73659,0.73705,0.72490,0.73288,2482392.6643000003
13.03.2004 01:30:00.000 GMT+0330,0.73288,0.73288,0.73288,0.73288,0
14.03.2004 01:30:00.000 GMT+0330,0.73288,0.73288,0.73288,0.73288,0
15.03.2004 01:30:00.000 GMT+0330,0.73095,0.73805,0.72864,0.73576,2468795.4297000007
16.03.2004 01:30:00.000 GMT+0330,0.73593,0.74365,0.73464,0.74213,2471233.5430999994
17.03.2004 01:30:00.000 GMT+0330,0.74192,0.74355,0.73590,0.74081,2468297.070399999
18.03.2004 01:30:00.000 GMT+0330,0.74107,0.75308,0.73920,0.75065,2473045.8164
19.03.2004 01:30:00.000 GMT+0330,0.75072,0.75260,0.74393,0.74879,2465927.4299
20.03.2004 01:30:00.000 GMT+0330,0.74879,0.74879,0.74879,0.74879,0
21.03.2004 02:30:00.000 GMT+0430,0.74879,0.74879,0.74879,0.74879,0
22.03.2004 02:30:00.000 GMT+0430,0.74724,0.75573,0.74244,0.75265,2448368.8556
23.03.2004 02:30:00.000 GMT+0430,0.75285,0.75437,0.74881,0.75229,2441241.5432
24.03.2004 02:30:00.000 GMT+0430,0.75203,0.75465,0.74296,0.74390,2483897.8595999996
25.03.2004 02:30:00.000 GMT+0430,0.74415,0.74487,0.73670,0.73849,2480770.8087000004
26.03.2004 02:30:00.000 GMT+0430,0.73823,0.74732,0.73745,0.74566,2468123.699
27.03.2004 02:30:00.000 GMT+0430,0.74566,0.74566,0.74566,0.74566,0
28.03.2004 02:30:00.000 GMT+0430,0.74566,0.74566,0.74566,0.74566,0
29.03.2004 02:30:00.000 GMT+0430,0.74507,0.74893,0.74279,0.74600,2479093.754
30.03.2004 02:30:00.000 GMT+0430,0.74646,0.75555,0.74570,0.75252,2295755.2659
31.03.2004 02:30:00.000 GMT+0430,0.75258,0.76690,0.75251,0.76628,2524697.5432
01.04.2004 02:30:00.000 GMT+0430,0.76611,0.76910,0.75934,0.76635,2530023.8087
02.04.2004 02:30:00.000 GMT+0430,0.76630,0.76743,0.75568,0.75708,2506565.7344
