Gmt time,Open,High,Low,Close,Volume
01.03.2008 00:00:00.000,103.680,103.680,103.680,103.680,0
02.03.2008 00:00:00.000,103.880,103.880,103.055,103.080,23029
03.03.2008 00:00:00.000,103.090,103.705,102.615,103.530,506712
04.03.2008 00:00:00.000,103.530,103.560,102.650,103.385,275225
05.03.2008 00:00:00.000,103.385,104.180,103.270,103.920,1337197
06.03.2008 00:00:00.000,103.920,104.000,102.445,102.575,879331
07.03.2008 00:00:00.000,102.575,103.240,101.420,102.650,1037599
08.03.2008 00:00:00.000,102.650,102.650,102.650,102.650,0
09.03.2008 00:00:00.000,102.820,102.820,102.080,102.270,148965
10.03.2008 00:00:00.000,102.270,102.440,101.420,101.465,992467
11.03.2008 00:00:00.000,101.465,103.590,101.420,103.270,592296
12.03.2008 00:00:00.000,103.270,103.330,101.100,101.485,1385001
13.03.2008 00:00:00.000,101.485,101.680,99.765,100.690,638732
14.03.2008 00:00:00.000,100.690,101.150,98.890,99.080,1079545
15.03.2008 00:00:00.000,99.080,99.080,99.080,99.080,0
16.03.2008 00:00:00.000,99.000,99.280,98.060,98.150,107969
17.03.2008 00:00:00.000,98.150,98.180,95.710,97.100,1520044
18.03.2008 00:00:00.000,97.100,100.440,96.840,99.845,900448
19.03.2008 00:00:00.000,99.845,100.110,97.660,98.640,543070
20.03.2008 00:00:00.000,98.640,100.210,98.450,99.360,690979
21.03.2008 00:00:00.000,99.360,99.740,99.265,99.530,923274
22.03.2008 00:00:00.000,99.530,99.530,99.530,99.530,0
23.03.2008 00:00:00.000,99.540,99.610,99.290,99.610,172387
24.03.2008 00:00:00.000,99.610,100.890,99.570,100.750,1118217
25.03.2008 00:00:00.000,100.750,101.050,99.620,100.080,850112
26.03.2008 00:00:00.000,100.080,100.320,98.765,99.145,874051
27.03.2008 00:00:00.000,99.145,100.155,98.555,99.530,732664
28.03.2008 00:00:00.000,99.530,100.385,99.100,99.190,793112
29.03.2008 00:00:00.000,99.190,99.190,99.190,99.190,0
30.03.2008 00:00:00.000,99.250,99.370,98.810,99.350,85208
31.03.2008 00:00:00.000,99.350,100.180,99.190,99.775,718733
01.04.2008 00:00:00.000,99.775,102.155,99.580,101.530,791105
02.04.2008 00:00:00.000,101.530,102.830,101.500,102.240,1062274
03.04.2008 00:00:00.000,102.240,102.945,102.070,102.410,830790
04.04.2008 00:00:00.000,102.415,102.685,101.420,101.460,498891
05.04.2008 00:00:00.000,101.460,101.460,101.460,101.460,0
06.04.2008 00:00:00.000,101.570,101.760,101.300,101.640,43957
07.04.2008 00:00:00.000,101.640,102.850,101.620,102.520,588814
08.04.2008 00:00:00.000,102.520,102.820,101.750,102.730,1009308
09.04.2008 00:00:00.000,102.730,102.830,101.500,101.760,1275879
10.04.2008 00:00:00.000,101.760,102.130,100.015,101.680,603753
11.04.2008 00:00:00.000,101.680,102.270,100.645,100.930,326963
12.04.2008 00:00:00.000,100.930,100.930,100.930,100.930,0
13.04.2008 00:00:00.000,100.900,102.010,100.895,101.130,59524
14.04.2008 00:00:00.000,101.140,101.500,100.300,101.100,476120
15.04.2008 00:00:00.000,101.100,101.930,100.790,101.690,766696
16.04.2008 00:00:00.000,101.690,101.880,100.825,101.830,1229880
17.04.2008 00:00:00.000,101.830,102.720,101.700,102.375,419666
18.04.2008 00:00:00.000,102.375,104.640,102.245,103.650,619620
19.04.2008 00:00:00.000,103.650,103.650,103.650,103.650,0
20.04.2008 00:00:00.000,103.650,104.050,103.650,103.860,318676
21.04.2008 00:00:00.000,103.860,104.060,102.980,103.180,1070154
22.04.2008 00:00:00.000,103.180,103.540,102.675,102.905,757632
23.04.2008 00:00:00.000,102.905,103.775,102.740,103.470,287587
24.04.2008 00:00:00.000,103.470,104.545,103.300,104.360,265224
25.04.2008 00:00:00.000,104.360,104.820,103.900,104.420,307337
26.04.2008 00:00:00.000,104.420,104.420,104.420,104.420,0
27.04.2008 00:00:00.000,104.400,104.650,104.280,104.650,31201
28.04.2008 00:00:00.000,104.650,104.820,104.055,104.100,191651
29.04.2008 00:00:00.000,104.100,104.360,103.215,103.930,173878
30.04.2008 00:00:00.000,103.930,104.880,103.690,103.910,250149
01.05.2008 00:00:00.000,103.910,104.590,103.540,104.380,266799
02.05.2008 00:00:00.000,104.380,105.700,104.380,105.390,274286
03.05.2008 00:00:00.000,105.390,105.390,105.390,105.390,0
04.05.2008 00:00:00.000,105.370,105.470,105.130,105.420,36307
05.05.2008 00:00:00.000,105.430,105.615,104.730,104.925,325728
06.05.2008 00:00:00.000,104.925,105.120,104.020,104.910,464339
07.05.2008 00:00:00.000,104.910,105.580,104.570,104.895,487229
08.05.2008 00:00:00.000,104.895,104.920,103.400,103.840,778223
09.05.2008 00:00:00.000,103.840,103.850,102.610,102.820,432077
10.05.2008 00:00:00.000,102.820,102.820,102.820,102.820,0
11.05.2008 00:00:00.000,102.810,103.110,102.570,102.640,28613
12.05.2008 00:00:00.000,102.640,104.030,102.610,103.870,225241
13.05.2008 00:00:00.000,103.870,104.915,103.385,104.745,357050
14.05.2008 00:00:00.000,104.750,105.440,104.560,105.160,217438
15.05.2008 00:00:00.000,105.170,105.290,104.425,104.720,527582
16.05.2008 00:00:00.000,104.725,105.095,103.520,104.050,374456
17.05.2008 00:00:00.000,104.050,104.050,104.050,104.050,0
18.05.2008 00:00:00.000,104.040,104.160,103.930,104.110,23935
19.05.2008 00:00:00.000,104.110,104.690,103.620,104.440,506309
20.05.2008 00:00:00.000,104.440,104.470,103.455,103.650,330799
21.05.2008 00:00:00.000,103.650,103.660,102.940,103.040,500528
22.05.2008 00:00:00.000,103.040,104.380,102.725,104.020,513065
